N	51.9018	-8.4582	D580	29 Nov 2023	D580\nCork to Midleton\nExpected Departure 22:45	To Midleton
N	53.3433	-6.24829	D829	29 Nov 2023	D829\nDublin Pearse to Dundalk\nExpected Departure 22:40	Northbound
N	53.3831	-6.4242	D327	29 Nov 2023	D327\nClonsilla to M3 Parkway\nExpected Departure 22:45	Northbound
R	0	0	D539	29 Nov 2023	D539\n22:30 - Mallow to Cork (0 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R	53.2469	-6.66386	D225	29 Nov 2023	D225\n22:10 - Dublin Heuston to Portlaoise (0 mins late)\nArrived Sallins next stop Newbridge	To Portlaoise
R	53.3531	-6.24591	D425	29 Nov 2023	D425\n22:30 - Grand Canal Dock to Hazelhatch (1 mins late)\nArrived Dublin Connolly next stop Drumcondra	Southbound
R	53.3776	-6.39072	D937	29 Nov 2023	D937\n22:08 - Dublin Pearse to Maynooth (1 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.6118	-6.18226	D828	29 Nov 2023	D828\n21:40 - Dublin Pearse to Drogheda (10 mins late)\nDeparted Balbriggan next stop Gormanston	Northbound
T	53.523	-7.34608	D935	29 Nov 2023	D935\n20:50 - Dublin Connolly to Mullingar(14 mins late)\nTERMINATED Mullingar at 22:31	Northbound
